Date,Close,Open,High,Low,Vol.,Change %
10/11/2019,93.88,94,94.57,93.56,6.25M,0.95%
10/10/2019,93,93.5,93.5,92.72,5.87M,0.52%
10/9/2019,92.52,92.41,93.05,91.82,5.14M,0.84%
10/8/2019,91.75,90.45,92.71,90.41,7.30M,-1.52%
10/7/2019,93.17,92.5,93.92,92.4,4.99M,0.11%
10/4/2019,93.07,92.22,93.17,91.93,4.58M,0.92%
10/3/2019,92.22,91.31,92.32,90.35,5.93M,0.80%
10/2/2019,91.49,91.47,91.84,90.57,6.97M,-0.86%
10/1/2019,92.28,94.13,94.75,92.06,8.50M,-1.75%
9/30/2019,93.92,92.53,94.08,92.5,7.66M,1.74%
9/27/2019,92.31,91.85,92.86,91.6,6.42M,0.15%
9/26/2019,92.17,91.62,92.45,90.25,10.54M,1.50%
9/25/2019,90.81,91.78,92.79,90.15,25.41M,4.16%
9/24/2019,87.18,88.45,88.69,86.76,11.25M,-0.58%
9/23/2019,87.69,86.98,88.02,86.8,4.87M,1.17%
9/20/2019,86.68,88,88.48,86.67,7.03M,-1.16%
9/19/2019,87.7,88.4,88.72,87.5,4.24M,-0.43%
9/18/2019,88.08,87.65,88.4,87.21,4.75M,0.56%
9/17/2019,87.59,86.77,87.64,86.47,3.27M,0.37%
9/16/2019,87.27,87.09,87.82,86.67,4.17M,-0.06%
9/13/2019,87.32,88.25,88.79,87.3,5.89M,-0.40%
9/12/2019,87.67,87.1,88.07,86.22,4.06M,1.06%
9/11/2019,86.75,86.96,87.25,85.87,4.62M,-0.09%
9/10/2019,86.83,88.26,88.63,86.29,7.07M,-2.08%
9/9/2019,88.67,88.94,89.35,88.42,4.28M,-0.02%
9/6/2019,88.69,88.4,88.98,88.02,3.63M,0.31%
9/5/2019,88.42,87.28,88.62,87.28,6.33M,2.40%
9/4/2019,86.35,85.58,86.5,85.5,4.17M,1.98%
9/3/2019,84.67,84,84.83,83.62,6.36M,0.20%
8/30/2019,84.5,85.7,85.99,84.41,5.24M,-1.03%
8/29/2019,85.38,84.22,85.77,84.17,5.10M,2.28%
8/28/2019,83.48,81.9,83.59,81.72,4.13M,1.77%
8/27/2019,82.03,82.63,83.18,82,3.84M,-0.27%
8/26/2019,82.25,81.44,82.28,80.74,4.34M,2.25%
8/23/2019,80.44,82.02,82.76,80.03,8.50M,-3.44%
8/22/2019,83.31,83,83.72,82.5,5.57M,0.69%
8/21/2019,82.74,81.94,82.84,81.63,6.45M,2.74%
8/20/2019,80.53,80.72,81.23,79.45,5.90M,-0.74%
8/19/2019,81.13,82,82.34,80.83,7.03M,1.06%
8/16/2019,80.28,80.09,80.56,79.25,5.65M,0.97%
8/15/2019,79.51,80.93,81.3,79.44,6.71M,-1.88%
8/14/2019,81.03,81.24,81.69,80.51,7.27M,-2.75%
8/13/2019,83.32,81.17,84.15,80.85,6.94M,2.05%
