Date,Close,Open,High,Low,Vol.,Change %
10/2/2019,58.9,59.83,59.94,58.63,33.50M,-2.32%
10/1/2019,60.3,61.12,61.64,60.28,25.65M,-1.24%
9/30/2019,61.06,61.03,61.37,60.67,25.89M,-0.39%
9/27/2019,61.3,62.14,62.25,60.76,34.45M,-1.30%
9/26/2019,62.11,62.11,62.23,61.59,23.43M,-0.30%
9/25/2019,62.3,60.8,62.4,60.46,27.10M,2.27%
9/24/2019,60.92,62,62.36,60.53,36.71M,-1.31%
9/23/2019,61.73,61.33,61.98,61.19,23.94M,0.39%
9/20/2019,61.49,61.68,62.14,61.18,38.75M,-0.73%
9/19/2019,61.94,61.62,62.22,61.62,16.94M,0.50%
9/18/2019,61.63,61.51,61.81,60.82,17.86M,0.23%
9/17/2019,61.49,61.58,61.75,61.17,20.94M,-0.15%
9/16/2019,61.58,61.52,61.95,61.26,28.22M,-0.68%
9/13/2019,62,61.61,62.05,61.35,23.68M,0.40%
9/12/2019,61.75,61.17,62.12,61.13,31.64M,1.23%
9/11/2019,61,60.19,61.12,60.11,23.52M,1.19%
9/10/2019,60.28,59.8,60.5,59.8,27.92M,0.03%
9/9/2019,60.26,60.35,61.03,59.66,31.86M,-0.10%
9/6/2019,60.32,60.46,60.65,60.16,18.97M,-0.48%
9/5/2019,60.61,59.68,60.7,59.63,26.41M,2.54%
9/4/2019,59.11,58.97,59.24,58.58,21.31M,1.08%
9/3/2019,58.48,59.09,59.45,58.19,25.92M,-1.76%
8/30/2019,59.53,60.02,60.02,59.29,18.07M,-0.30%
8/29/2019,59.71,59.32,59.96,59.26,19.64M,1.74%
8/28/2019,58.69,58.24,58.92,58.01,16.82M,0.26%
8/27/2019,58.54,59.15,59.25,58.23,23.47M,-0.03%
8/26/2019,58.56,57.97,58.59,57.74,21.18M,1.53%
8/23/2019,57.68,59.26,59.78,57.5,36.26M,-3.19%
8/22/2019,59.58,59.69,59.94,58.95,17.36M,0.00%
8/21/2019,59.58,59.79,60.03,59.4,14.17M,0.68%
8/20/2019,59.18,59.77,59.9,59.15,20.21M,-1.40%
8/19/2019,60.02,59.59,60.47,59.52,24.46M,1.80%
8/16/2019,58.96,59.04,59.19,58.65,25.30M,0.84%
8/15/2019,58.47,58.42,58.82,58.15,28.61M,0.45%
8/14/2019,58.21,58.8,59.14,58.05,35.43M,-2.72%
8/13/2019,59.84,58.72,60.27,58.65,28.60M,1.89%
8/12/2019,58.73,59,59.28,58.44,22.06M,-1.21%
8/9/2019,59.45,60,60.22,59.24,20.42M,-1.43%
8/8/2019,60.31,59.32,60.31,58.7,30.12M,2.57%
8/7/2019,58.8,57.89,58.99,57.54,30.69M,0.43%
8/6/2019,58.55,58.28,59.07,58.08,36.01M,1.40%
8/5/2019,57.74,58.65,58.84,57.14,47.84M,-3.48%
8/2/2019,59.82,60.15,60.48,59.5,34.91M,-1.27%
8/1/2019,60.59,60.88,61.81,60.35,35.43M,-0.53%
7/31/2019,60.91,61.24,61.75,60.41,39.96M,-0.80%
7/30/2019,61.4,61.35,61.85,61.27,28.62M,-1.11%
7/29/2019,62.09,62.12,62.45,61.51,41.38M,-0.27%
7/26/2019,62.26,61.4,63.42,61.4,121.22M,9.61%
7/25/2019,56.8,56.95,57.18,56.19,54.76M,-0.33%
7/24/2019,56.99,56.63,57.27,56.43,27.20M,-0.71%
7/23/2019,57.4,57.17,57.44,56.64,20.65M,0.77%
7/22/2019,56.96,56.77,57,56.26,28.94M,0.67%
7/19/2019,56.58,57.47,57.58,56.56,23.18M,-1.36%
7/18/2019,57.36,57.1,57.41,56.64,25.48M,0.03%
7/17/2019,57.34,57.55,57.92,57.33,19.54M,-0.57%
7/16/2019,57.67,57.34,57.93,57.34,25.35M,0.24%
7/15/2019,57.53,57.27,57.53,57,21.17M,0.45%
7/12/2019,57.27,57.15,57.38,56.93,21.88M,0.12%
7/11/2019,57.2,57.31,57.66,56.98,26.01M,0.26%
7/10/2019,57.05,56.62,57.12,56.53,30.71M,1.49%
